T00	T01	T02	T03	T10	T11	T12	T13	T20	T21	T22	T23	T30	T31	T32	T33
0.999911	0.0133057	0.000188895	0.000324631	-0.0133063	0.999905	0.00347757	-0.00570871	-0.000142605	-0.00347978	0.999994	-0.00576519	0	0	0	1
0.999899	0.0142035	-0.000112921	0.000286198	-0.014203	0.999894	0.00323361	-0.00556461	0.000158837	-0.00323168	0.999995	-0.00569333	0	0	0	1
0.999904	0.0138355	-0.000261558	0.000226713	-0.0138343	0.999897	0.00391347	-0.00638773	0.000315675	-0.00390947	0.999992	-0.00555096	0	0	0	1
0.999895	0.0144956	-0.000397426	3.64027e-05	-0.0144942	0.999889	0.00340743	-0.00630439	0.000446775	-0.00340131	0.999994	-0.00538077	0	0	0	1
0.999886	0.0150835	-0.000707465	-1.2346e-05	-0.0150813	0.999882	0.00308847	-0.0061183	0.000753966	-0.00307745	0.999995	-0.00559087	0	0	0	1
0.99989	0.0147508	-0.00140788	0.000623368	-0.0147454	0.999884	0.0037782	-0.00670244	0.00146345	-0.00375702	0.999992	-0.00529442	0	0	0	1
0.999877	0.0155671	-0.00172007	0.00104127	-0.01556	0.999871	0.00408788	-0.00693077	0.00178348	-0.00406062	0.99999	-0.00517735	0	0	0	1
0.999834	0.018121	-0.00180928	0.00135011	-0.0181154	0.999831	0.00308256	-0.00640145	0.00186483	-0.00304927	0.999994	-0.00534186	0	0	0	1
0.999812	0.0192831	-0.00203929	0.00154185	-0.0192752	0.999807	0.00382796	-0.00688735	0.00211271	-0.00378794	0.999991	-0.00603434	0	0	0	1
0.999803	0.0197068	-0.00227058	0.00171636	-0.0196958	0.999795	0.00477259	-0.00769342	0.00236416	-0.00472693	0.999986	-0.00645821	0	0	0	1
0.999813	0.0191879	-0.00230898	0.00165944	-0.0191754	0.999802	0.0053491	-0.00834967	0.00241116	-0.00530382	0.999983	-0.00689487	0	0	0	1
0.999805	0.0196035	-0.00240047	0.00152615	-0.0195906	0.999794	0.00530165	-0.00877073	0.00250391	-0.00525359	0.999983	-0.00768781	0	0	0	1
0.999793	0.0201894	-0.00258928	0.00122795	-0.0201767	0.999785	0.00484056	-0.00861445	0.00268645	-0.00478732	0.999985	-0.00918525	0	0	0	1
0.999803	0.0196417	-0.00273157	0.00105867	-0.0196299	0.999798	0.00429669	-0.00825056	0.00281541	-0.00424223	0.999987	-0.0100675	0	0	0	1
0.999801	0.019728	-0.00282515	0.00109812	-0.0197177	0.999799	0.00363296	-0.00746856	0.00289626	-0.00357654	0.999989	-0.010599	0	0	0	1
0.999793	0.0200941	-0.00315671	0.00142394	-0.0200836	0.999793	0.00331992	-0.00707015	0.00322276	-0.00325584	0.99999	-0.0111183	0	0	0	1
0.999796	0.019926	-0.00320774	0.00154688	-0.0199139	0.999795	0.0037769	-0.00720773	0.00328234	-0.00371225	0.999988	-0.0111202	0	0	0	1
0.999797	0.0198539	-0.00336425	0.00196097	-0.01984	0.999795	0.00410114	-0.00752811	0.00344498	-0.00403356	0.999986	-0.0105866	0	0	0	1
0.999784	0.0204981	-0.00347546	0.00221848	-0.0204842	0.999782	0.00400206	-0.00754352	0.00355673	-0.00393	0.999986	-0.0101663	0	0	0	1
0.999787	0.0203734	-0.00334199	0.00216158	-0.0203572	0.999781	0.00480578	-0.00827053	0.00343917	-0.00473672	0.999983	-0.0104453	0	0	0	1
0.999785	0.0204683	-0.00325194	0.00199551	-0.0204498	0.999775	0.00562263	-0.00896572	0.0033663	-0.00555492	0.999979	-0.0107965	0	0	0	1
0.999788	0.0203456	-0.00325512	0.00192049	-0.0203246	0.999773	0.00636745	-0.0096997	0.00338393	-0.00629994	0.999974	-0.0112377	0	0	0	1
0.999774	0.0210005	-0.00325008	0.00189862	-0.0209806	0.999762	0.00603124	-0.00985214	0.00337597	-0.00596169	0.999977	-0.0117742	0	0	0	1
0.999759	0.0216605	-0.00362428	0.0021345	-0.0216375	0.999746	0.00626724	-0.0102096	0.00375911	-0.00618731	0.999974	-0.0119087	0	0	0	1
0.999766	0.0213376	-0.00363343	0.00241123	-0.0213139	0.999752	0.00645187	-0.0106162	0.0037702	-0.00637291	0.999973	-0.0117582	0	0	0	1
0.999752	0.021916	-0.00384051	0.00266568	-0.0218903	0.999738	0.00663222	-0.0107385	0.00398485	-0.00654651	0.999971	-0.0124319	0	0	0	1
0.999745	0.0221891	-0.00412072	0.00319043	-0.0221626	0.999734	0.00636947	-0.0106699	0.00426096	-0.00627652	0.999971	-0.0132218	0	0	0	1
0.999719	0.0233782	-0.00402283	0.00332092	-0.0233545	0.99971	0.00582886	-0.0101678	0.00415793	-0.00573327	0.999975	-0.0137549	0	0	0	1
0.999695	0.0244277	-0.00371554	0.00335441	-0.0244056	0.999685	0.00587799	-0.00990477	0.00385795	-0.00578551	0.999976	-0.0138872	0	0	0	1
0.999684	0.0248429	-0.00371037	0.00344059	-0.0248181	0.99967	0.00657722	-0.0101355	0.00387255	-0.00648306	0.999971	-0.0141807	0	0	0	1
0.999685	0.024798	-0.00398181	0.00359814	-0.0247684	0.999667	0.00730714	-0.0104422	0.00416168	-0.00720621	0.999965	-0.0142386	0	0	0	1
0.999675	0.025177	-0.0040218	0.00365571	-0.0251465	0.999656	0.00746934	-0.010481	0.00420847	-0.00736578	0.999964	-0.0142609	0	0	0	1
0.999666	0.0254738	-0.00427205	0.00375718	-0.0254428	0.999651	0.00716564	-0.0102988	0.00445309	-0.00705455	0.999965	-0.014601	0	0	0	1
0.999647	0.0261992	-0.00434204	0.0035399	-0.0261684	0.999633	0.00700428	-0.0100187	0.00452395	-0.00688819	0.999966	-0.0155671	0	0	0	1
0.999615	0.0273741	-0.00450179	0.00343771	-0.0273433	0.999603	0.0067715	-0.00972868	0.00468536	-0.0066458	0.999967	-0.016579	0	0	0	1
0.999599	0.0279123	-0.00481187	0.00358268	-0.0278805	0.99959	0.00654751	-0.00956745	0.00499266	-0.00641073	0.999967	-0.0175461	0	0	0	1
0.999577	0.0286913	-0.00481487	0.00363186	-0.0286597	0.999568	0.00650028	-0.00935925	0.00499929	-0.00635954	0.999967	-0.0172487	0	0	0	1
0.999571	0.0288803	-0.00478647	0.00387827	-0.028851	0.999565	0.00608398	-0.00871452	0.0049601	-0.00594327	0.99997	-0.0163712	0	0	0	1
0.999549	0.0296533	-0.00481176	0.00394586	-0.029626	0.999545	0.00563375	-0.00803353	0.00497664	-0.00548865	0.999973	-0.0158705	0	0	0	1
0.999527	0.0303919	-0.00469284	0.00396391	-0.0303628	0.99952	0.00614708	-0.00812099	0.00487741	-0.00600169	0.99997	-0.0152083	0	0	0	1
0.999509	0.0309998	-0.00463595	0.00411385	-0.0309676	0.999497	0.00685314	-0.00866891	0.00484606	-0.00670621	0.999966	-0.014752	0	0	0	1
0.999465	0.0322648	-0.00534715	0.00426619	-0.0322263	0.999455	0.00713326	-0.00903934	0.00557439	-0.00695713	0.99996	-0.0150328	0	0	0	1
0.999457	0.0325419	-0.00519305	0.00399363	-0.0325035	0.999445	0.00731173	-0.00945964	0.00542811	-0.00713897	0.99996	-0.0154174	0	0	0	1
0.999476	0.0319438	-0.00523864	0.00408407	-0.0319021	0.99946	0.00785404	-0.0102354	0.0054867	-0.0076828	0.999955	-0.0153265	0	0	0	1
0.999457	0.0325456	-0.00522793	0.00408006	-0.0325034	0.99944	0.00795734	-0.0106275	0.00548398	-0.00778309	0.999955	-0.0148498	0	0	0	1
0.999431	0.0333547	-0.00500567	0.00402896	-0.0333106	0.999408	0.00865419	-0.0113549	0.00529136	-0.00848253	0.99995	-0.0145544	0	0	0	1
0.999408	0.0340189	-0.00509547	0.00408085	-0.0339698	0.999378	0.00942896	-0.0122589	0.00541307	-0.00925029	0.999943	-0.0142015	0	0	0	1
0.9994	0.0342028	-0.00553778	0.00414247	-0.0341466	0.999367	0.00995698	-0.0131823	0.00587484	-0.00976191	0.999935	-0.0151785	0	0	0	1
0.999383	0.0346879	-0.00552826	0.00407343	-0.0346359	0.999357	0.00923239	-0.0133998	0.00584496	-0.00903522	0.999942	-0.0161111	0	0	0	1
0.999374	0.0349577	-0.00535713	0.00380417	-0.0349097	0.999352	0.00881587	-0.0135482	0.00566184	-0.00862334	0.999947	-0.0171969	0	0	0	1
0.99933	0.0361542	-0.00563015	0.00396653	-0.0361039	0.999309	0.00878958	-0.0136674	0.00594404	-0.00858043	0.999946	-0.0175401	0	0	0	1
0.99928	0.0374747	-0.00588887	0.00411084	-0.0374219	0.99926	0.00884292	-0.0136509	0.0062159	-0.00861619	0.999944	-0.0173769	0	0	0	1
0.999275	0.037592	-0.00601685	0.00403443	-0.0375334	0.99925	0.00957355	-0.0141867	0.00637222	-0.00934077	0.999936	-0.0173998	0	0	0	1
0.999287	0.0372262	-0.00627371	0.00415878	-0.0371599	0.999255	0.0103814	-0.0150101	0.0066555	-0.0101409	0.999926	-0.0172888	0	0	0	1
0.999243	0.0383678	-0.00650223	0.00421389	-0.038303	0.999218	0.00981136	-0.0151119	0.00687358	-0.00955487	0.999931	-0.0172825	0	0	0	1
0.999209	0.0392301	-0.00644674	0.00422664	-0.0391617	0.999179	0.010418	-0.0157742	0.00685015	-0.0101573	0.999925	-0.017451	0	0	0	1
0.999168	0.0402119	-0.00685839	0.00455725	-0.0401352	0.999134	0.0109868	-0.0163501	0.00729425	-0.0107024	0.999916	-0.0170789	0	0	0	1
0.999141	0.0408561	-0.00694591	0.00463552	-0.040773	0.9991	0.0117066	-0.0167795	0.00741794	-0.0114133	0.999907	-0.0171677	0	0	0	1
0.999139	0.0409385	-0.00666753	0.00418913	-0.040855	0.999091	0.0122036	-0.0171129	0.00716106	-0.0119207	0.999903	-0.0170552	0	0	0	1
0.999102	0.0418484	-0.00661563	0.00367437	-0.0417666	0.999055	0.01206	-0.0170165	0.00711406	-0.0117729	0.999905	-0.0169444	0	0	0	1
0.999067	0.0426604	-0.00668978	0.0033608	-0.0425793	0.999023	0.0118377	-0.0165658	0.00718825	-0.0115418	0.999908	-0.0169318	0	0	0	1
0.999044	0.0432086	-0.00670354	0.00315669	-0.0431301	0.999004	0.0114375	-0.0161177	0.00719106	-0.0111374	0.999912	-0.0168704	0	0	0	1
0.99903	0.0434724	-0.00703871	0.00336559	-0.043393	0.998997	0.0110597	-0.0155091	0.00751244	-0.0107436	0.999914	-0.0163848	0	0	0	1
0.99904	0.0432203	-0.00709578	0.00351575	-0.043138	0.999004	0.0113662	-0.0157545	0.00757997	-0.0110492	0.99991	-0.0165828	0	0	0	1
0.999042	0.0431419	-0.00727147	0.00359269	-0.0430559	0.999005	0.0116025	-0.016059	0.00776479	-0.0112783	0.999906	-0.0170229	0	0	0	1
0.999048	0.043047	-0.00711975	0.00344996	-0.0429599	0.999005	0.0119625	-0.0163637	0.00762761	-0.0116452	0.999903	-0.0174632	0	0	0	1
0.999026	0.0435542	-0.00714536	0.00335929	-0.0434665	0.998983	0.0119955	-0.0164942	0.00766055	-0.0116732	0.999903	-0.0174335	0	0	0	1
0.999018	0.0436878	-0.00743654	0.00350436	-0.0435989	0.99898	0.0117292	-0.0166351	0.00794138	-0.0113935	0.999904	-0.0174632	0	0	0	1
0.999007	0.0439262	-0.00745636	0.00351139	-0.0438361	0.998969	0.0118419	-0.0167247	0.00796884	-0.0115033	0.999902	-0.0174195	0	0	0	1
0.998994	0.0442549	-0.0072027	0.00327431	-0.0441678	0.998954	0.0118418	-0.0166587	0.00771922	-0.0115118	0.999904	-0.0176013	0	0	0	1
0.999006	0.0440357	-0.00691031	0.00300463	-0.0439516	0.998963	0.011889	-0.016671	0.00742668	-0.0115735	0.999905	-0.0170694	0	0	0	1
0.999024	0.0436364	-0.00690019	0.00284072	-0.0435528	0.998981	0.0118349	-0.016734	0.00740959	-0.0115228	0.999906	-0.0171485	0	0	0	1
0.999026	0.0436264	-0.00654324	0.00237396	-0.0435433	0.998975	0.0123407	-0.0171102	0.00707492	-0.0120437	0.999902	-0.0174158	0	0	0	1
0.999022	0.0437537	-0.00638834	0.00210211	-0.0436703	0.998966	0.0126568	-0.0175007	0.00693551	-0.0123654	0.999899	-0.0170608	0	0	0	1
0.998978	0.0447571	-0.00629371	0.00165528	-0.0446774	0.998926	0.0122728	-0.017231	0.00683625	-0.0119791	0.999905	-0.0164551	0	0	0	1
0.998997	0.044337	-0.00632631	0.00149318	-0.0442559	0.998943	0.0124239	-0.0175968	0.00687046	-0.0121314	0.999903	-0.0165232	0	0	0	1
0.998999	0.0442843	-0.00638852	0.00153938	-0.0442002	0.998941	0.0127491	-0.0178487	0.00694635	-0.012454	0.999898	-0.0163709	0	0	0	1
0.999015	0.0439358	-0.00627914	0.00152613	-0.0438509	0.998953	0.013066	-0.0182263	0.00684663	-0.0127778	0.999895	-0.0159235	0	0	0	1
