x	y	theta
-0.0235135	-0.00164396	0.00819634
-0.0233057	-0.0017733	0.0080122
-0.0226698	-0.00165528	0.00772566
-0.0231855	-0.00161225	0.00778063
-0.0232327	-0.00175844	0.00833771
-0.0244131	-0.00171848	0.00833503
-0.024788	-0.00183121	0.00852524
-0.0244868	-0.00169653	0.0083604
-0.0247191	-0.0017798	0.00858306
-0.0241768	-0.00233363	0.00914159
-0.0240231	-0.00274228	0.00937643
-0.0242883	-0.00287829	0.00939599
-0.0237669	-0.00318022	0.00950606
-0.022404	-0.00318387	0.00917864
-0.021854	-0.00316014	0.00907388
-0.0217573	-0.0033358	0.00955275
-0.0215186	-0.00355378	0.00995372
-0.0214308	-0.00371129	0.0102728
-0.0214475	-0.00366002	0.0102051
-0.0218572	-0.0037117	0.0101409
-0.0225139	-0.00373604	0.0101159
-0.0230104	-0.00365907	0.00992793
-0.0227892	-0.00322794	0.00951511
-0.0231038	-0.00298484	0.00956653
-0.023613	-0.00286238	0.00947891
-0.0237272	-0.00245429	0.00895167
-0.0235653	-0.00228826	0.00905344
-0.0225088	-0.00244685	0.00937695
-0.0222723	-0.00205935	0.00890006
-0.0222243	-0.00178455	0.00863924
-0.0217509	-0.00140569	0.00821167
-0.0209887	-0.00112405	0.00805347
-0.0209631	-0.000951966	0.00810284
-0.0206163	-0.000871299	0.00816199
-0.0205482	-0.000972013	0.00824075
-0.0206835	-0.00102301	0.00835381
-0.0205074	-0.00126647	0.00858796
-0.0207438	-0.00127467	0.00856256
-0.0212154	-0.00125958	0.00852004
-0.0216103	-0.00112584	0.00835608
-0.0224401	-0.00124681	0.00855491
-0.0232371	-0.00126059	0.00861428
-0.0238403	-0.0014069	0.00870298
-0.0249228	-0.00151931	0.00869631
-0.0260661	-0.00122881	0.00863594
-0.0273605	-0.000760112	0.00843021
-0.0275971	-0.00100443	0.00907244
-0.0270355	-0.00110792	0.00915495
-0.0266042	-0.00138629	0.00910157
-0.0268445	-0.00153628	0.0092605
-0.0262104	-0.00181521	0.00951935
-0.02501	-0.00223045	0.0098061
-0.02433	-0.00223387	0.00947297
